num_bo,ano_bo,id_delegacia,nome_departamento,nome_seccional,delegacia,nome_departamento_circ,nome_seccional_circ,nome_delegacia_circ,ano,mes,flag_status,rubrica,desdobramento,conduta,latitude,longitude,location,cidade,logradouro,numero_logradouro,flag_status_2
1357277,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DEMACRO,DEL.SEC.OSASCO,08º D.P. OSASCO,2016,10,C,Furto (art. 155),NULL,OUTROS,-23.557196841330398,-46.812622435638303,POINT(-46.812622435638303 -23.557196841330398),OSASCO,RUA JUAN VICENTE,170,C
1122286,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DEMACRO,DEL.SEC.OSASCO,05º D.P. OSASCO,2016,9,C,Furto (art. 155),NULL,TRANSEUNTE,-23.529522960992299,-46.787264817643099,POINT(-46.787264817643099 -23.529522960992299),OSASCO,AVENIDA JOÃO BATISTA,27,C
1342326,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.5º LESTE,10º D.P. PENHA DE FRANCA,2016,10,C,Furto (art. 155),NULL,INTERIOR DE VEICULO,-23.506804705166601,-46.540026959166603,POINT(-46.540026959166603 -23.506804705166601),S.PAULO,RUA ALIANCA,23,C
128544,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.4º NORTE,28º D.P.  FREGUESIA DO O,2016,1,C,Furto (art. 155),NULL,OUTROS,-23.486013717999999,-46.693870566999998,POINT(-46.693870566999998 -23.486013717999999),S.PAULO,AV. MIN. PETRÔNIO PORTELA,1642,C
335542,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.8º SAO MATEUS,49º D.P.  SAO MATEUS,2016,3,C,Roubo (art. 157),NULL,OUTROS,-23.604386638907801,-46.4518682118157,POINT(-46.4518682118157 -23.604386638907801),S.PAULO,RUA FRANCISCO DE MELO PALHETA,1299,C
394023,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DECAP,DEL.SEC.5º LESTE,56º D.P.  VILA ALPINA,2016,3,C,Furto (art. 155),NULL,INTERIOR TRANSPORTE COLETIVO,-23.5843928122693,-46.584297591319199,POINT(-46.584297591319199 -23.5843928122693),S.PAULO,RUA IBITIRAMA,447,C
436699,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DEMACRO,DEL.SEC.CARAPICUIBA,DEL.POL.ITAPEVI,2016,3,C,Roubo (art. 157),NULL,INTERIOR DE VEICULO,-23.530981607754899,-46.987190253391802,POINT(-46.987190253391802 -23.530981607754899),ITAPEVI,RUA JOSÉ VALÊNCIO,10,C
3069,2016,10373,DECAP,DEL.SEC.6º SANTO AMARO,100º D.P. JDIM HERCULANO,DECAP,DEL.SEC.6º SANTO AMARO,100º D.P. JDIM HERCULANO,2016,7,C,Roubo (art. 157),NULL,VEICULO,,,,S.PAULO,RUA DOS PINHEIROS,16,C
443544,2016,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,DEMACRO,DEL.SEC.S.BERNARDO DO CAMPO,05º D.P. S.BERNARDO DO CAMPO,2016,3,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.6835588215529,-46.5673352904086,POINT(-46.5673352904086 -23.6835588215529),S.BERNARDO DO CAMPO,AVENIDA PADRE ANCHIETA,21,C
5976,2016,10335,DECAP,DEL.SEC.4º NORTE,72º D.P. VILA PENTEADO,DECAP,DEL.SEC.4º NORTE,45º D.P.  V BRASILANDIA,2016,8,C,Roubo (art. 157),NULL,TRANSEUNTE,-23.465410775285701,-46.6854178098571,POINT(-46.6854178098571 -23.465410775285701),S.PAULO,RUA ANTONIO DE ALMEIDA VIANA,340,C
